,Map1_Dust2,Map1_Vertigo,Map1_Inferno,Map1_Overpass,Map1_Train,Map1_Mirage,Map1_Nuke,Map2_Dust2,Map2_Vertigo,Map2_Inferno,Map2_Overpass,Map2_Train,Map2_Mirage,Map2_Nuke,Team1Rank,Team2Rank,Team1WinPercentageMirage,Team1WinPercentageDust2,Team1WinPercentageNuke,Team1WinPercentageOverpass,Team1WinPercentageInferno,Team1WinPercentageVertigo,Team1WinPercentageTrain,Team1WinPercentageCache,Team2WinPercentageMirage,Team2WinPercentageDust2,Team2WinPercentageNuke,Team2WinPercentageOverpass,Team2WinPercentageInferno,Team2WinPercentageVertigo,Team2WinPercentageTrain,Team2WinPercentageCache,Team1ConfidencePickMirage,Team1ConfidencePickDust2,Team1ConfidencePickNuke,Team1ConfidencePickOverpass,Team1ConfidencePickInferno,Team1ConfidencePickVertigo,Team1ConfidencePickTrain,Team1ConfidencePickCache,Team2ConfidencePickMirage,Team2ConfidencePickDust2,Team2ConfidencePickNuke,Team2ConfidencePickOverpass,Team2ConfidencePickInferno,Team2ConfidencePickVertigo,Team2ConfidencePickTrain,Team2ConfidencePickCache,Team1AverageOppRankMirage,Team1AverageOppRankDust2,Team1AverageOppRankNuke,Team1AverageOppRankOverpass,Team1AverageOppRankInferno,Team1AverageOppRankVertigo,Team1AverageOppRankTrain,Team1AverageOppRankCache,Team2AverageOppRankMirage,Team2AverageOppRankDust2,Team2AverageOppRankNuke,Team2AverageOppRankOverpass,Team2AverageOppRankInferno,Team2AverageOppRankVertigo,Team2AverageOppRankTrain,Team2AverageOppRankCache,Team1PlayersPlusMinosMirage,Team1PlayersPlusMinosDust2,Team1PlayersPlusMinosNuke,Team1PlayersPlusMinosOverpass,Team1PlayersPlusMinosInferno,Team1PlayersPlusMinosVertigo,Team1PlayersPlusMinosTrain,Team1PlayersPlusMinosCache,Team2PlayersPlusMinosMirage,Team2PlayersPlusMinosDust2,Team2PlayersPlusMinosNuke,Team2PlayersPlusMinosOverpass,Team2PlayersPlusMinosInferno,Team2PlayersPlusMinosVertigo,Team2PlayersPlusMinosTrain,Team2PlayersPlusMinosCache,Team1RoundsPlusMinosMirage,Team1RoundsPlusMinosDust2,Team1RoundsPlusMinosNuke,Team1RoundsPlusMinosOverpass,Team1RoundsPlusMinosInferno,Team1RoundsPlusMinosVertigo,Team1RoundsPlusMinosTrain,Team1RoundsPlusMinosCache,Team2RoundsPlusMinosMirage,Team2RoundsPlusMinosDust2,Team2RoundsPlusMinosNuke,Team2RoundsPlusMinosOverpass,Team2RoundsPlusMinosInferno,Team2RoundsPlusMinosVertigo,Team2RoundsPlusMinosTrain,Team2RoundsPlusMinosCache,Team1Winner
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,29,50.0,0.0,66.66666666666666,50.0,75.0,75.0,66.66666666666666,0.0,0.0,100.0,100.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,57.142857142857146,100.0,85.71428571428571,0.0,0.0,0.0,50.0,80.0,0.0,66.66666666666667,100.0,0.0,0.0,15.0,0.0,13.8,19.666666666666668,21.142857142857142,25.444444444444443,24.2,0.0,40.25,30.142857142857142,27.555555555555557,15.666666666666666,31.555555555555557,30.833333333333332,0.0,0.0,-115.0,0.0,-12.0,-32.0,-148.0,70.0,55.0,0.0,-6.0,244.0,180.0,-17.0,152.0,-249.0,0.0,0.0,-5.0,0.0,-11.0,44.0,31.0,59.0,-3.0,0.0,-4.0,6.0,15.0,-19.0,13.0,23.0,0.0,0.0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,38,25,33.33333333333333,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,66.66666666666666,66.66666666666666,0.0,0.0,0.0,100.0,0.0,76.92307692307692,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,50.0,0.0,100.0,0.0,100.0,0.0,37.15384615384615,41.0,35.25,15.0,41.166666666666664,29.25,40.5,0.0,32.77777777777778,21.0,22.666666666666668,0.0,7.25,7.5,31.428571428571427,0.0,152.0,105.0,99.0,0.0,-80.0,229.0,2.0,0.0,84.0,-21.0,99.0,0.0,3.0,0.0,14.0,0.0,30.0,13.0,-10.0,-10.0,16.0,-2.0,-1.0,0.0,61.0,-2.0,18.0,0.0,-11.0,-17.0,17.0,0.0,0
2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,24,35,66.66666666666666,100.0,0.0,0.0,100.0,33.33333333333333,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,83.33333333333333,25.0,0.0,0.0,0.0,100.0,0.0,50.0,66.66666666666667,0.0,100.0,0.0,40.333333333333336,49.0,0.0,31.833333333333332,40.875,49.4,39.142857142857146,0.0,55.0,71.14285714285714,62.0,53.36363636363637,63.375,52.0,55.5,0.0,-271.0,-26.0,0.0,-24.0,76.0,-36.0,-202.0,0.0,-19.0,-230.0,19.0,-343.0,239.0,-91.0,-133.0,0.0,16.0,40.0,0.0,-25.0,38.0,-8.0,0.0,0.0,1.0,24.0,-3.0,-9.0,-9.0,-11.0,10.0,0.0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0.0,20.0,50.0,0.0,100.0,66.66666666666666,50.0,0.0,100.0,33.33333333333333,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,33.333333333333336,0.0,100.0,0.0,75.0,0.0,0.0,100.0,66.66666666666667,50.0,0.0,0.0,0.0,0.0,0.0,20.0,15.818181818181818,19.25,19.0,26.5,16.0,4.75,0.0,10.285714285714286,16.6,11.833333333333334,15.5,21.5,0.0,11.2,0.0,75.0,-147.0,-103.0,219.0,50.0,-279.0,210.0,0.0,-173.0,-273.0,153.0,249.0,99.0,0.0,-455.0,0.0,4.0,-11.0,3.0,1.0,7.0,46.0,-8.0,0.0,34.0,11.0,-1.0,-16.0,5.0,0.0,22.0,0.0,1
4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,22,0.0,75.0,80.0,66.66666666666666,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,40.0,66.66666666666667,75.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636363636363,0.0,0.0,0.0,24.428571428571427,22.75,25.285714285714285,28.0,16.25,31.0,0.0,16.0,23.5,21.666666666666668,24.75,26.166666666666668,26.363636363636363,40.0,0.0,0.0,-370.0,8.0,315.0,150.0,-113.0,90.0,0.0,154.0,-244.0,-23.0,36.0,128.0,6.0,0.0,0.0,0.0,21.0,15.0,0.0,-30.0,-19.0,10.0,0.0,-19.0,-1.0,-14.0,0.0,-6.0,13.0,3.0,0.0,1
5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,35,34,0.0,0.0,0.0,20.0,50.0,0.0,100.0,0.0,66.66666666666666,50.0,0.0,50.0,66.66666666666666,50.0,0.0,0.0,0.0,100.0,0.0,50.0,66.66666666666667,0.0,100.0,0.0,0.0,33.333333333333336,0.0,60.0,0.0,100.0,0.0,0.0,55.0,65.25,62.0,50.63636363636363,59.0,51.0,55.5,0.0,48.666666666666664,37.54545454545455,0.0,28.4,28.5,37.285714285714285,25.0,0.0,0.0,-237.0,19.0,-404.0,278.0,-91.0,-133.0,0.0,179.0,44.0,0.0,-362.0,143.0,109.0,-224.0,0.0,1.0,37.0,-3.0,-11.0,-11.0,-13.0,10.0,0.0,-2.0,-10.0,0.0,9.0,-2.0,14.0,-1.0,0.0,1
6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,41,43,100.0,20.0,0.0,50.0,66.66666666666666,50.0,0.0,0.0,100.0,50.0,0.0,28.57142857142857,75.0,0.0,50.0,0.0,100.0,0.0,50.0,100.0,100.0,57.142857142857146,0.0,0.0,0.0,0.0,0.0,16.666666666666668,60.0,0.0,50.0,0.0,48.2,47.57142857142857,59.833333333333336,40.6,48.666666666666664,41.666666666666664,0.0,0.0,54.8,35.4,0.0,44.36363636363637,44.0,43.0,33.2,0.0,44.0,14.0,267.0,-110.0,77.0,-28.0,0.0,0.0,-255.0,186.0,0.0,-513.0,-13.0,0.0,-59.0,0.0,37.0,-4.0,-30.0,-3.0,21.0,10.0,0.0,0.0,-14.0,-13.0,0.0,-8.0,-14.0,-15.0,14.0,0.0,1
7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,0.0,40.0,75.0,50.0,80.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,100.0,66.66666666666667,66.66666666666667,100.0,0.0,0.0,0.0,100.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,13.444444444444445,9.0,10.125,18.0,15.8,0.0,11.285714285714286,19.4,12.285714285714286,16.666666666666668,24.428571428571427,0.0,11.25,0.0,0.0,139.0,153.0,-98.0,-112.0,84.0,-203.0,0.0,-186.0,-303.0,153.0,262.0,47.0,0.0,-456.0,0.0,0.0,54.0,27.0,12.0,50.0,8.0,-6.0,0.0,34.0,24.0,8.0,-4.0,14.0,0.0,19.0,0.0,1
8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,37,34,0.0,50.0,50.0,50.0,100.0,0.0,33.33333333333333,0.0,66.66666666666666,50.0,0.0,50.0,50.0,33.33333333333333,0.0,0.0,0.0,100.0,50.0,33.333333333333336,83.33333333333333,0.0,0.0,0.0,0.0,42.857142857142854,0.0,60.0,0.0,100.0,0.0,0.0,21.0,20.444444444444443,18.625,23.5,19.875,0.0,20.428571428571427,0.0,55.5,40.75,0.0,36.333333333333336,26.8,37.333333333333336,25.0,0.0,0.0,-315.0,4.0,43.0,159.0,0.0,-121.0,0.0,179.0,31.0,0.0,-362.0,188.0,124.0,-203.0,0.0,9.0,-43.0,-19.0,2.0,26.0,0.0,-30.0,0.0,-4.0,-6.0,0.0,16.0,-4.0,12.0,-1.0,0.0,0
9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,6,100.0,33.33333333333333,0.0,100.0,0.0,0.0,0.0,0.0,50.0,40.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,57.142857142857146,40.0,0.0,50.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,100.0,0.0,75.0,0.0,0.0,15.6,19.0,17.77777777777778,13.25,16.5,14.5,0.0,0.0,17.4,16.181818181818183,16.8,19.0,26.5,18.166666666666668,4.75,0.0,-265.0,21.0,40.0,-25.0,-45.0,0.0,0.0,0.0,101.0,-154.0,-83.0,219.0,50.0,-279.0,210.0,0.0,4.0,-1.0,-13.0,-3.0,21.0,4.0,0.0,0.0,10.0,-21.0,8.0,1.0,7.0,40.0,-8.0,0.0,0
