,Team1Rank,Team1WinRankAverage,Team1LoseRankAverage,Team2Rank,Team2WinRankAverage,Team2LoseRankAverage,Team1Winner
0,6.0,14.5,10.125,15.0,21.125,3.75,1.0
1,4.0,10.125,11.0,30.0,51.75,9.25,0.0
2,4.0,9.875,14.75,23.0,43.375,0.0,0.0
3,6.0,12.5,10.125,9.0,19.5,3.75,0.0
4,1.0,14.625,0.375,5.0,14.75,3.75,0.0
5,1.0,14.625,0.625,25.0,10.375,19.375,1.0
6,5.0,10.875,3.75,36.0,19.625,21.875,1.0
7,6.0,10.625,11.25,53.0,9.25,20.0,0.0
8,5.0,15.375,3.25,25.0,10.375,17.25,0.0
9,1.0,16.625,0.625,36.0,19.625,24.125,1.0
10,43.0,11.125,23.875,57.0,7.875,24.625,1.0
11,11.0,17.125,1.0,29.0,9.0,10.25,1.0
12,38.0,23.75,10.0,25.0,36.25,0.25,0.0
13,19.0,30.75,2.5,39.0,34.25,4.25,1.0
14,24.0,14.375,28.25,35.0,17.375,29.375,0.0
15,49.0,21.375,16.25,34.0,17.5,13.375,1.0
16,6.0,16.0,4.75,7.0,17.75,0.125,1.0
17,20.0,12.875,9.0,22.0,10.875,16.875,1.0
18,35.0,14.375,29.375,34.0,27.25,9.0,1.0
19,35.0,18.625,21.25,39.0,23.125,9.0,0.0
20,41.0,20.0,16.125,43.0,11.375,30.25,1.0
21,31.0,17.5,27.5,25.0,41.0,0.0,0.0
22,1.0,15.875,0.875,7.0,21.375,0.0,1.0
23,37.0,10.625,7.0,34.0,22.625,11.375,0.0
24,13.0,16.5,3.0,6.0,14.625,4.75,0.0
25,37.0,6.625,11.25,38.0,18.0,13.125,0.0
26,19.0,33.25,2.5,24.0,14.375,28.125,1.0
27,29.0,6.0,11.625,6.0,16.25,3.75,0.0
28,36.0,28.625,27.75,57.0,23.875,12.25,0.0
29,13.0,15.125,4.625,11.0,20.75,0.375,1.0
30,36.0,20.125,34.875,31.0,17.5,27.75,0.0
31,39.0,22.625,9.0,43.0,12.125,39.25,1.0
32,1.0,16.75,0.375,6.0,16.0,5.125,1.0
33,44.0,27.125,17.5,25.0,44.875,0.0,0.0
34,7.0,19.625,0.125,11.0,19.5,2.0,1.0
35,24.0,14.375,24.875,41.0,33.75,13.125,1.0
36,22.0,10.875,14.25,29.0,11.125,7.75,0.0
37,21.0,15.875,9.5,37.0,10.625,6.25,1.0
38,2.0,7.875,10.0,32.0,8.625,12.75,0.0
39,13.0,8.875,6.75,20.0,15.625,7.375,1.0
40,48.0,27.5,11.375,16.0,47.0,19.625,1.0
41,16.0,44.0,25.625,33.0,34.25,6.875,1.0
42,23.0,13.625,10.125,11.0,21.875,0.875,1.0
43,20.0,18.0,9.375,5.0,16.25,6.25,1.0
44,26.0,19.5,6.875,16.0,51.5,16.375,1.0
45,36.0,13.375,5.75,4.0,5.625,11.25,0.0
46,6.0,18.5,2.0,25.0,10.125,17.25,0.0
47,7.0,16.75,0.125,37.0,0.0,22.75,1.0
48,17.0,15.625,8.375,40.0,4.75,12.75,0.0
49,16.0,48.125,9.25,74.0,23.875,14.75,1.0
50,50.0,25.0,29.375,3.0,14.75,11.0,1.0
51,54.0,33.25,14.75,22.0,17.875,28.125,0.0
52,42.0,29.25,21.125,59.0,11.375,33.0,0.0
53,26.0,21.5,5.625,38.0,17.5,29.125,1.0
54,11.0,22.25,0.875,5.0,15.375,8.75,1.0
55,29.0,11.75,13.25,10.0,12.5,7.75,1.0
56,35.0,24.25,11.0,38.0,22.0,21.625,0.0
57,2.0,7.375,14.0,13.0,16.875,3.625,0.0
58,21.0,17.25,9.375,1.0,13.75,0.875,0.0
59,9.0,11.375,6.5,30.0,15.25,6.625,1.0
60,31.0,6.125,10.5,26.0,15.625,7.125,0.0
61,74.0,15.875,17.75,64.0,12.125,30.5,1.0
62,18.0,34.5,25.5,48.0,25.25,16.25,0.0
63,33.0,31.125,6.625,19.0,34.5,2.5,0.0
64,23.0,11.125,13.125,20.0,30.375,6.5,1.0
65,17.0,28.75,0.625,4.0,5.625,9.75,1.0
66,36.0,18.25,4.875,7.0,10.125,0.875,0.0
67,34.0,42.25,23.0,38.0,20.25,29.125,0.0
68,3.0,10.375,3.625,59.0,17.5,31.875,0.0
69,42.0,29.25,18.875,54.0,10.875,36.5,0.0
70,22.0,23.375,14.875,50.0,22.25,46.875,0.0
71,5.0,15.0,7.75,10.0,9.25,7.875,1.0
72,26.0,6.0,7.25,47.0,19.125,14.375,1.0
73,6.0,13.875,3.875,37.0,4.125,20.5,1.0
74,25.0,11.25,17.25,40.0,8.625,14.125,1.0
75,47.0,18.375,11.25,74.0,10.0,19.875,0.0
76,19.0,42.25,10.125,39.0,33.0,16.5,1.0
77,27.0,5.5,18.875,47.0,13.375,20.5,1.0
78,20.0,18.25,9.375,29.0,15.375,10.75,1.0
79,64.0,15.75,47.5,18.0,31.625,13.75,1.0
80,26.0,8.25,7.0,2.0,4.625,11.75,0.0
81,30.0,20.0,5.0,13.0,13.125,4.875,0.0
82,9.0,10.375,4.125,21.0,16.125,11.375,0.0
83,42.0,29.25,23.125,3.0,9.75,11.0,0.0
84,50.0,22.25,45.875,54.0,16.125,30.625,0.0
85,59.0,11.375,31.875,22.0,18.625,21.125,0.0
86,17.0,17.875,1.5,47.0,19.125,15.375,0.0
87,31.0,6.125,9.75,1.0,11.625,0.875,0.0
88,37.0,4.125,19.625,25.0,10.5,17.25,0.0
89,7.0,14.625,0.375,17.0,26.25,0.625,1.0
90,39.0,27.75,18.875,48.0,29.75,9.5,1.0
91,22.0,17.875,26.5,35.0,31.125,4.375,0.0
92,17.0,36.25,19.25,50.0,27.625,12.125,0.0
93,33.0,29.5,4.375,45.0,21.25,11.25,0.0
94,15.0,25.375,2.375,11.0,20.375,5.75,0.0
95,27.0,5.5,10.875,47.0,2.75,13.25,0.0
96,4.0,5.0,9.75,6.0,14.75,3.375,1.0
97,41.0,9.375,12.125,32.0,7.125,7.625,1.0
98,47.0,0.125,13.75,21.0,11.25,13.125,1.0
99,20.0,29.625,14.875,2.0,12.125,1.125,1.0
100,23.0,18.5,13.125,7.0,13.0,5.625,1.0
101,24.0,30.375,8.625,10.0,13.25,7.875,0.0
102,1.0,4.875,10.625,9.0,10.25,7.5,0.0
103,13.0,11.875,4.875,26.0,8.25,6.0,1.0
104,17.0,30.875,11.375,19.0,48.25,10.125,0.0
105,5.0,10.25,1.625,8.0,0.5,3.5,0.0
106,44.0,6.125,8.0,36.0,9.0,10.25,0.0
107,17.0,17.0,5.25,13.0,7.125,2.75,0.0
108,19.0,1.875,4.625,18.0,2.375,11.5,0.0
109,22.0,10.75,3.875,20.0,17.375,2.375,0.0
110,131.0,1.875,20.875,65.0,18.625,18.625,1.0
111,18.0,4.75,10.875,20.0,6.25,4.625,0.0
112,65.0,18.625,30.5,36.0,16.25,24.25,1.0
113,19.0,1.875,9.5,22.0,15.75,6.625,0.0
114,13.0,6.75,2.75,17.0,17.0,4.0,0.0
115,15.0,9.0,15.75,28.0,8.5,11.125,0.0
